Vehicle,n_test,threshold_used,accuracy,precision,recall,f1
Three Wheeler,14,0.3507180650037793,0.8571428571428571,1.0,0.8461538461538461,0.9166666666666666
Motor Cycle,8,0.3983371126228269,1.0,1.0,1.0,1.0
Car,7,0.3507180650037793,0.42857142857142855,1.0,0.42857142857142855,0.6
Lorry,6,0.3507180650037793,0.6666666666666666,1.0,0.6,0.75
Van,6,0.3983371126228269,1.0,1.0,1.0,1.0
Bus,5,0.3983371126228269,1.0,1.0,1.0,1.0
Bus / Three Wheeler,4,0.3507180650037793,0.0,0.0,0.0,0.0
Lorry / Three Wheeler,4,0.3507180650037793,1.0,1.0,1.0,1.0
Bus / Motor Cycle,2,0.3507180650037793,0.5,1.0,0.5,0.6666666666666666
Bus / Van,2,0.3507180650037793,1.0,1.0,1.0,1.0
Car / Three Wheeler,1,0.3507180650037793,1.0,1.0,1.0,1.0
Three Wheeer,1,0.3507180650037793,0.0,0.0,0.0,0.0
Three Wheel,1,0.3507180650037793,1.0,1.0,1.0,1.0
Three Wheeler / Lorry,1,0.3507180650037793,1.0,1.0,1.0,1.0
Three Wheeler / Motor Cycle,1,0.3507180650037793,0.0,0.0,0.0,0.0
